Front,Back,Audio,rank,noteId,tags
ร้าย,evil,[sound:google-c309b8e1-b55af959-91945635-cf98e329-f4a862ce.mp3],878,1399818768849,
ผี,ghost,[sound:google-1ed3af90-e6cccb40-93e40356-ad232a2b-415d7cae.mp3],879,1399818768850,
รับผิดชอบ,responsible,[sound:google-aaef8113-0016f8c9-96a9c14e-5725af25-f2621076.mp3],880,1399818768851,
หมายความ,mean,[sound:google-1431f5d2-c64f293c-c0722fd5-f684b59b-90175f46.mp3],881,1399818768852,
สอบ,exam,[sound:google-8effde8d-d33326c3-4cd801b3-ef3fce80-a84d1417.mp3],882,1399818768853,
แน่,sure;certain,[sound:google-9363fb03-a21b4b59-8156073e-f169d176-b105d75b.mp3],883,1399818768854,
ภายหลัง,after,[sound:google-b5a72a61-62dbb03d-2dd365a6-03f05eb3-771eaf95.mp3],884,1399818768855,
เพียงพอ,sufficient,[sound:google-a256e530-4d928a60-07e6d540-70af2100-7bf3fbac.mp3],885,1399818768856,
นั่นเอง,there; sure enough,[sound:google-5d8de36b-7b4863ea-6b8a198e-639083e4-d8ed4c2d.mp3],886,1399818768857,
ล่วงหน้า,"in advance, beforehand",[sound:google-01281b69-d7bf575e-e3b39f23-760ec741-c0aa17bc.mp3],887,1399818768858,
ชื่อเสียง,reputation,[sound:google-9ffa24b0-afb8bf88-11a45093-1426125d-c9a4732e.mp3],888,1399818768859,
แท้,genuine,[sound:google-3e8e29e7-caa9499a-f9ec130a-2d5e85ee-e127ba31.mp3],889,1399818768860,
ต่อเนื่อง,"to continue, carry on; continually",[sound:google-67eaf19e-a140e98b-d5551c89-48a6d282-f8e719e4.mp3],890,1399818768861,
กาย,body,[sound:google-77ccdd1f-58c68cd4-cb919b56-55274083-761b973e.mp3],891,1399818768862,
แล,look at; watch; truly,[sound:google-e86d8fd9-444fe3a7-331a314a-126e3a9c-651daf84.mp3],892,1399818768863,
ทั้งสิ้น,whole; all; entire,[sound:google-98fa31d1-f4c7109d-eb49f7cb-db7f6ab2-03b48768.mp3],893,1399818768864,
โดน,hit; passive voice marker,[sound:google-cb68f728-237a0885-2af69e83-40acb5e6-082f3883.mp3],894,1399818768865,
เสริม,supplement; add,[sound:google-45b262df-5aebac50-e954c254-737b0605-c189728c.mp3],895,1399818768866,
ดูเหมือน,seems,[sound:google-f6c5718f-ff88d0e0-396860fe-200b45d9-bc207dfc.mp3],896,1399818768867,
ปัญญา,wit; wisdom; intelligence,[sound:google-d7564742-ceb49470-f8365b1a-32d532da-f2a9c57e.mp3],897,1399818768868,
ชา,tea,[sound:google-1528c786-6e70eb05-89f2ee24-4cd7de36-931f7b7d.mp3],898,1399818768869,
เช้า,morning,[sound:google-7f74261f-a9c16941-4320813c-5f11ec07-c183e0fa.mp3],899,1399818768870,
คา,to obstruct; to be stuck,[sound:google-e1663487-8bc6c808-c5622125-11392ecb-c7fa0e85.mp3],900,1399818768871,
คำสั่ง,command,[sound:google-8ef97acb-41a2847e-d2d19cee-fd2712ec-2f2f7e60.mp3],901,1399818768872,
หน่วยงาน,institute,[sound:google-307a68c5-b06017e7-6fca6708-bcda3bc0-70ceb0eb.mp3],902,1399818768873,
สมบูรณ์,complete; perfect,[sound:google-6619a99a-e9047141-1b0edcd4-99f9f263-5e8e2513.mp3],903,1399818768874,
ประธาน,president; chief,[sound:google-8ae8ba96-c4e6946e-32ff590f-7571cf88-e8b6a6fb.mp3],904,1399818768875,
กรรม,deed; karma,[sound:google-dad75f3d-b6431c3f-2be12a90-3ee2d612-5f55e231.mp3],905,1399818768876,
ฐาน,base,[sound:google-f4d20a20-92ada18c-8ec71f13-9070e0fc-79971c7c.mp3],906,1399818768877,
คุ้นเคย,familiar; intimate,[sound:google-d0e3bee5-166eb0d1-3016678f-d678ef9e-6655340d.mp3],907,1399818768878,
แจ้ง,inform,[sound:google-724fe8e6-57e9b72d-3bf9cb2d-c10e931a-fb1bed31.mp3],908,1399818768879,
นาม,name; a noun,[sound:google-ffeda49c-5dd4ad72-0a40212c-e0e5defb-3628943d.mp3],909,1399818768880,
เรียง,arrange; order; compose,[sound:google-1cd0ae9e-94fda416-90db3486-f28e3272-2adeb369.mp3],910,1399818768881,
กรม,department (government),[sound:google-d5aa6a3c-18703e2f-11193bcc-1b972a1e-35307247.mp3],911,1399818768882,
เหล่านั้น,those,[sound:google-ebd87cad-fa936a3a-533e0fbe-d4c53de0-1ef8d89d.mp3],912,1399818768883,
เคารพ,respect; to respect,[sound:google-6ac9c1ea-d86f398c-ee729ed5-b90f7a80-dd882f58.mp3],913,1399818768884,
ระบาย,"paint, release",[sound:google-8acea813-7a7c25bc-9e8629cc-caae2c3a-f7f0ea66.mp3],914,1399818768885,
กฎ,rule; regulation,[sound:google-747dd8a8-769f66e8-a427d2b8-742f2a21-a6ef1bbb.mp3],915,1399818768886,
รอง,"secondary, vice-; support from below",[sound:google-3ca8a183-2f67e408-4cfa7956-e5ce400a-98ea5890.mp3],916,1399818768887,
ยื่น,reach; stick out,[sound:google-d575e57e-3558f495-f68555e5-2da94fd8-781d0343.mp3],917,1399818768888,
ยังไง,how?; any way; whichever way,[sound:google-89adab21-a031d097-7dd3db32-e871d620-558ad17d.mp3],918,1399818768889,
ยาม,guard; time,[sound:google-9aae7ee8-89270af1-295a5bd1-3da4b419-8055c618.mp3],919,1399818768890,
เอกชน,private,[sound:google-6a6f36b8-4c6e8419-833b5aa5-c09c373e-afb56764.mp3],920,1399818768891,
ภัย,disaster,[sound:google-fe3a27a3-dcff5586-92a775f8-d9ed8409-caab4fef.mp3],921,1399818768892,
รูปร่าง,shape,[sound:google-00e99e5c-99adb672-c66233f1-1d51a258-b34258db.mp3],922,1399818768893,
พักผ่อน,rest,[sound:google-a3666126-a96e30d9-84718463-9192f44e-4bb3bc55.mp3],923,1399818768894,
พฤติกรรม,behavior,[sound:google-38f88858-fd48f2fb-626d8b9e-121bf8fd-a2e891c1.mp3],924,1399818768895,
สื่อ,media,[sound:google-d103d1e4-116f5937-d65f71b8-2967c745-ecd779c7.mp3],925,1399818768896,
อุปกรณ์,equipment,[sound:google-dc627225-b8971fc2-70b09caf-c27915c8-aab5af93.mp3],926,1399818768897,
สถานี,station,[sound:google-26bae0f6-c7e67618-a8eacd2c-75ad1097-f5682e5c.mp3],927,1399818768898,
เกษตร,farming; cultivated land,[sound:google-0a280d05-7ddc6855-9f5ab1e4-fddb2070-28a07d3e.mp3],928,1399818768899,
ที่ผ่านมา,ago,[sound:google-666c796c-164c9c89-c93994c6-6018610b-d4b2c62d.mp3],929,1399818768900,
จังหวะ,rhythm; appropriate occasion,[sound:google-b2db9c54-6d090f8a-82569b16-bdce94dd-b19eac56.mp3],930,1399818768901,
จำกัด,ltd.; limit; confine; constrict,[sound:google-d8ab82f7-f8b6d692-a4f41628-9a8e1fed-4f6e4aa3.mp3],931,1399818768902,
เทคโนโลยี,technology,[sound:google-4eccae7d-b566608e-6658fbbb-bb7333f4-9ebbd7c9.mp3],932,1399818768903,
ท่า,position; posture,[sound:google-1f12c470-1bf63e46-ba57c438-d6229888-f0b05121.mp3],933,1399818768904,
สำนักงาน,office; bureau,[sound:google-1e3b304b-72457129-7856e16b-2c827fd7-85e16056.mp3],934,1399818768905,
เสื้อ,shirt,[sound:google-4f5e7458-8737e62f-bdbf5e8b-e0577ded-1ef70839.mp3],935,1399818768906,
อาคาร,building,[sound:google-846e5399-03349449-9104abff-d4df4ce3-5fc510c8.mp3],936,1399818768907,
แรงงาน,labor,[sound:google-60105b02-bd767d06-7e272fa3-75f56529-b3ae3bd4.mp3],937,1399818768908,
ดาว,star,[sound:google-6dd07081-cf450d44-4b24aea8-214b1e97-6b198486.mp3],938,1399818768909,
ซา,to subside; abate; calm down,[sound:google-44d1af27-4948a3d8-1699e329-d987287b-92c66016.mp3],939,1399818768910,
ดวง,spherical object,[sound:google-5fcff9a4-3f981980-1a0582bc-20b25941-f9b04355.mp3],940,1399818768911,
ท้องถิ่น,local,[sound:google-c0d732cd-5cb87b42-95893e78-3cee8776-60b639bf.mp3],941,1399818768912,
นิสัย,habit; temper; behaviour,[sound:google-ec32dc09-c3257f7b-a07d35db-3edba035-bf42769f.mp3],942,1399818768913,
เช่นนั้น,such; like that,[sound:google-f6bc165b-6fa3529b-2ae16af9-31ef6de9-efcfbad7.mp3],943,1399818768914,
ค้นหา,search; look,[sound:google-e03c3a2e-3d632977-6a50d280-480b0839-fee07332.mp3],944,1399818768915,
สยาม,Siam,[sound:google-c33db3bc-dff692a1-d508a818-52ba2506-5abf1621.mp3],945,1399818768916,
ปัจจัย,factor; cause,[sound:google-c774e1b8-79cc554d-32cb2c07-18342c68-b68529b9.mp3],946,1399818768917,
เสียก่อน,before; beforehand,[sound:google-8cc757a5-69ea26e6-92173b2e-020fbffa-b3d7a070.mp3],947,1399818768918,
ฝึก,train; practice,[sound:google-12c8c549-43238155-bdc34455-e4565069-cd1fadcd.mp3],948,1399818768919,
ประวัติศาสตร์,history,[sound:google-48911e8c-70652d61-7d91f5fd-e4e1f739-57d97fa5.mp3],949,1399818768920,
ระบุ,specify,[sound:google-0f8c0765-7beabd55-c365409e-b1c78f96-2c1bf61d.mp3],950,1399818768921,
ศูนย์,zero; center,[sound:google-0543a4bb-946d8798-2c2dd5ff-6301967f-8f8aa595.mp3],951,1399818768922,
เครื่องมือ,tool,[sound:google-9c9ce45b-24fe14e7-b07f12bb-4a05c5cb-3eb445be.mp3],952,1399818768923,
ลืม,forget,[sound:google-e7520f55-f3a316f2-1d9a36e9-42f17ab0-84ae4316.mp3],953,1399818768924,
น่าสนใจ,interesting,[sound:google-a83a93ac-07f7546e-2d828e5f-96889d9f-f7b868a2.mp3],954,1399818768925,
ดำรง,permament; sustain,[sound:google-ebee4ecc-94f28f7d-054670fe-4d8d50c9-dbb17203.mp3],955,1399818768926,
สูบ,"pump, smoke",[sound:google-5bf55b2b-551d2f48-ad9b2e04-4c144877-faa7927e.mp3],956,1399818768927,
รับรู้,recognize; be aware of,[sound:google-33380f8c-bea71da0-10a37b81-36ed32e4-c20a9ae8.mp3],957,1399818768928,
อิสระ,independent,[sound:google-9bdba244-366ad950-c029d1ed-f2144687-1639d4c6.mp3],958,1399818768929,
หมื่น,ten thousand,[sound:google-3f7555ff-e691ea6d-b031fb9d-a694718f-a0cf21a1.mp3],959,1399818768930,
บริสุทธิ์,pure; innocent; virgin,[sound:google-f4115bc4-6e019404-1209f54b-b0681b9c-540bf16b.mp3],960,1399818768931,
อ้าง,claim,[sound:google-568efe44-dbf9e8fa-ad14455c-b9481a3e-c75bdbc1.mp3],961,1399818768932,
ถวาย,to give; offer; present,[sound:google-522882f5-791e9f64-f207f1cf-a726364d-873c34d7.mp3],962,1399818768933,
สิ่งแวดล้อม,environment,[sound:google-e3efb061-953373c4-e914b10a-16bfcfdf-bdb49a32.mp3],963,1399818768934,
ข้างหน้า,in front,[sound:google-6b94c345-a2d83e0e-2c018acd-2d998d9b-0debda7b.mp3],964,1399818768935,
สัมภาษณ์,interview,[sound:google-ad96edb4-9bbb0416-49c8dc45-00a19147-39ed70c6.mp3],965,1399818768936,
ติ,blame; criticize,[sound:google-6cbcc1ae-a3d25cf8-2b5bc622-07a2a2ff-19b61756.mp3],966,1399818768937,
สัน,ridge; backbone,[sound:google-7499bc9f-e567a8ad-c7b9a459-6eb4b4b4-fd6259ce.mp3],967,1399818768938,
สายตา,sight,[sound:google-9a593d31-79588ee6-ce1fb11b-b573f6e1-7007c0c3.mp3],968,1399818768939,
ปรับปรุง,adjust; improve,[sound:google-2a09f16c-fe080afa-88c2c855-8399774d-e4eeeb3d.mp3],969,1399818768940,
พนักงาน,employee; official,[sound:google-5fcf7080-3e1b85fd-a3762828-f63eb2e0-19e1ead0.mp3],970,1399818768941,
แตก,broken,[sound:google-f3687dd3-e937e1bf-05d6eed9-0e799770-ece38056.mp3],971,1399818768942,
บุตร,child,[sound:google-e6e319b6-37312075-4338bd80-819bf7d9-e42c0c5e.mp3],972,1399818768943,
แข่งขัน,compete,[sound:google-6c1b126d-448cb2fc-47d911d3-3bee8e79-5532bb1f.mp3],973,1399818768944,
ขัง,imprison; confine,[sound:google-1e22e550-a319add4-6a25de9c-7629653a-3447cdec.mp3],974,1399818768945,
ภูมิ,status; knowledge; ground,[sound:google-3dd71367-16565c21-9f2381c5-87a48f36-6ff3a44e.mp3],975,1399818768946,
สมเด็จ,His Majesty,[sound:google-eb2c50d4-8633a36c-33db8d96-bf0b88d4-65736234.mp3],976,1399818768947,
ตรงข้าม,opposite,[sound:google-29a065d2-5be62543-71433b8c-b74eaef1-56cc2d78.mp3],977,1399818768948,
ต้องหา,have to find,[sound:google-df95a877-37230fd8-6d62f79e-073e4bb0-69724e2c.mp3],978,1399818768949,
พอสมควร,reasonably; moderately,[sound:google-8a03b43c-1081fd8c-4616f2e0-a68b53fc-2e96d8be.mp3],979,1399818768950,
กร,worker; hand; sunlight,[sound:google-7c115785-0fd5cb0e-629662c6-d629c102-cf547211.mp3],980,1399818768951,
หน่อย,a bit; somewhat,[sound:google-0dcbaac0-bf28812e-5d7ed7f5-455a0947-29e9db4d.mp3],981,1399818768952,
อย่างไรก็ตาม,anyway; whichever way,[sound:google-ede3e3a7-1bea362b-a3bfa0aa-afe84d6f-9c663823.mp3],982,1399818768953,
ศพ,corpse,[sound:google-603ec567-6fa1b7ac-ac5bbad2-a166338c-fe96aef2.mp3],983,1399818768954,
ส่งผล,affect; influence; impact,[sound:google-5ca69720-0eccdd3e-aa5787be-6c9ed3c0-b896864e.mp3],984,1399818768955,
หนังสือพิมพ์,newspaper,[sound:google-c8f46fce-b37ce926-e492c734-35e1a901-6a36b5ef.mp3],985,1399818768956,
ฉาย,to project; to shine,[sound:google-883f3fa0-3a4ecf39-d746eaea-0fa67062-390200f9.mp3],986,1399818768957,
สุขภาพ,health,[sound:google-5d4b1e73-19917e60-e779a44e-5045eea0-d3fa1b13.mp3],987,1399818768958,
สวรรค์,heaven,[sound:google-b021f66d-24197402-ae33dd27-77656675-03c6c99d.mp3],988,1399818768959,
บางที,"perhaps, maybe",[sound:google-8cd81836-58ac1ed6-b89f5ef5-254320b3-82b44931.mp3],989,1399818768960,
โรงงาน,factory,[sound:google-55ecd7d6-5dc29f1a-5e179b3a-ece18e66-863d9e7a.mp3],990,1399818768961,
ความต้องการ,requirement; demand; need,[sound:google-8f220016-082ed6ba-7fed4592-b0c9ff46-8b02a4ca.mp3],991,1399818768962,
สาขา,branch (of tree or office),[sound:google-3a442880-788c86d0-6fd9d8f4-d6845a81-7246a97f.mp3],992,1399818768963,
ทำเป็น,know how to do; to feign; to pretend,[sound:google-2e3d0a21-ac498393-0ee74e2c-1ac5da00-1c7f7587.mp3],993,1399818768964,
ลำดับ,sequence; order,[sound:google-a9f71fd5-fe6e1efd-bea34a5e-2b81df02-16bfe12b.mp3],994,1399818768965,
ยืนยัน,confirm,[sound:google-7b0884e2-4dfaaa14-49714194-fed30000-66200a17.mp3],995,1399818768966,
ติดตาม,trace; follow,[sound:google-f718ca0e-bbfc8369-c4884db5-01b3cf57-5b616d3f.mp3],996,1399818768967,
ภายนอก,external; outside,[sound:google-41220a77-8e02067d-d59206c6-d973d45e-ae4b0bd5.mp3],997,1399818768968,
นาที,minute,[sound:google-732db95a-6e4e5397-48355238-3fd84315-caacb72b.mp3],998,1399818768969,
แผน,plot; plan,[sound:google-04aa623f-671c65d1-4bb2174e-51627422-f0f4d83e.mp3],999,1399818768970,
วิเคราะห์,analyze,[sound:google-6f641da2-ba7b3d33-76ed0a4c-f16c45d4-4deb2ec0.mp3],1000,1399818768971,
เช่นเดียว,as well,[sound:google-735c758c-7566b806-8825972a-76356195-3a1b88b0.mp3],1001,1399818768972,
ความสนใจ,attention; interest,[sound:google-a553f47f-60a64ab1-8fd33ee4-9f66d207-e2fae7bd.mp3],1002,1399818768973,
สะอาด,clean,[sound:google-92146c3f-8ba0786a-c753d46c-58201965-a03af5f3.mp3],1003,1399818768974,
ซ้อน,overlap; overlay,[sound:google-5adb06f7-2ce8b6f1-b085bc79-65d38b13-18a07e17.mp3],1004,1399818768975,
แปลง,convert; change; transform,[sound:google-9e4f0bdf-9983e618-7408990d-a73bb6b1-81e00bc9.mp3],1005,1399818768976,
รบ,fight; combat,[sound:google-4bd25596-4a070120-25e78a83-be507cc0-133f2ef7.mp3],1006,1399818768977,
บิน,fly,[sound:google-8b0ab9e9-d8dd0e5b-43ae793a-a34bbf04-80d1a02d.mp3],1007,1399818768978,
สับสน,confused; mixed up,[sound:google-09e168d2-5494a193-47aa9b59-a605fd5c-834cb5fd.mp3],1008,1399818768979,
คนเรา,we; us,[sound:google-3db391e1-043075ea-08bdb840-1adbbf18-c1aa0e0b.mp3],1009,1399818768980,
บทบาท,role,[sound:google-20830d28-cacaceca-8c65fa08-028e99ae-5d618110.mp3],1010,1399818768981,
โฆษณา,commercial,[sound:google-3b7acab3-1350857a-484f4e4f-68c7c1cf-c8ddf266.mp3],1011,1399818768982,
หลง,lost; neglected; mentally weak,[sound:google-0f188f8f-cf6b0838-e628ade5-846bc355-299b9ca4.mp3],1012,1399818768983,
อาทิตย์,sun; week,[sound:google-af2559a1-011fe89b-11851051-4731f617-db50d4c7.mp3],1013,1399818768984,
น้ำมัน,oil,[sound:google-07e83860-eee9bb94-758c4d55-5c193eab-3bd5a384.mp3],1014,1399818768985,
หัก,fracture; subtract,[sound:google-7cc6cc49-4659a6ad-d9dbeecd-32fe2d0d-ddd24423.mp3],1015,1399818768986,
โทรศัพท์,phone,[sound:google-8ecd40c6-278b9b09-a15069e1-fb58174d-13a9d749.mp3],1016,1399818768987,
ถึงแม้,though; although,[sound:google-c0655aa6-292d6f13-74b74731-a32845d0-0d9ec55f.mp3],1017,1399818768988,
บุหรี่,cigarette,[sound:google-ecc8ad6d-471cce9f-72ff0059-800f2815-8db17cd5.mp3],1018,1399818768989,
ซ้าย,left,[sound:google-4f2bcef7-4a28a3e0-f1b7ca05-fa612fd6-93d7d08b.mp3],1019,1399818768990,
ชัน,steep; erect; precipiotious,[sound:google-90a84c14-0e65e8dc-ab4bc456-ae5481b0-b59203cd.mp3],1020,1399818768991,
เขียว,green,[sound:google-a9171118-5255ab4d-a9dfb999-c940e78e-399db343.mp3],1021,1399818768992,
ที่ตั้ง,location; position; situation,[sound:google-fe674057-e12b1296-ace71d86-04c18567-e1229e7a.mp3],1022,1399818768993,
ในที่สุด,eventually,[sound:google-467ccf7a-aa4e628a-2d464d11-629b2459-37296d35.mp3],1023,1399818768994,
กะ,also; to estimate; shift,[sound:google-c3a82b4d-148ded60-faa2c71b-a8af4ca4-26cb58ce.mp3],1024,1399818768995,
ให้การ,give evidence; testify,[sound:google-b5826021-b1544562-64c7366d-8f404227-94ad9b40.mp3],1025,1399818768996,
ทีเดียว,very; really,[sound:google-31b06c63-a00baa54-edae0f05-ce312dd2-9df7e9f7.mp3],1026,1399818768997,
ยิ้ม,smile,[sound:google-558aa755-d915a269-f0a0c0bd-920557eb-60f109ff.mp3],1027,1399818768998,
ข้าราชการ,government officer,[sound:google-231023f6-28a7bc17-4f1ce1fc-aaa46cda-8fbd97d5.mp3],1028,1399818768999,
พื้นฐาน,foundation,[sound:google-653599ef-0485ff82-33d0f870-aafa1cc8-7883f27d.mp3],1029,1399818769000,
หนี้,debt,[sound:google-e7eb3bff-c0731dab-67210758-3741b08a-571afeb8.mp3],1030,1399818769001,
ฝั่ง,coast; shore; side; bank,[sound:google-8d0b1601-76bddad8-58f50407-2d59c62a-dafff6b8.mp3],1031,1399818769002,
เสี่ยง,risky; risk,[sound:google-ca8d451b-94ea5eef-25e42ec9-95688d05-9f875b8b.mp3],1032,1399818769003,
ตรวจสอบ,check,[sound:google-6f34d724-8b18ecb2-6dad8296-db58b050-a7e9b01e.mp3],1033,1399818769004,
ขน,hair (on body),[sound:google-9c412262-5e9ffe77-b4e7b13b-f0a1e1e8-ed662fc0.mp3],1034,1399818769005,
ยิ่งใหญ่,great; mighty,[sound:google-8cf3e3fa-f565e470-6d7046ae-ceba03ab-e4c0d0b7.mp3],1035,1399818769006,
ยินดี,happy,[sound:google-34a95278-d2a7cfd0-50e33abd-e68fbb4a-50a7fbc1.mp3],1036,1399818769007,
ยาย,grandmother,[sound:google-ff2fc62a-4b134434-3484293d-e3ebf08f-a3d12e38.mp3],1037,1399818769008,
รถยนต์,car,[sound:google-c522a003-f6d8fa4f-3260218a-825b3e9d-aeee0142.mp3],1038,1399818769009,
หน่วย,unit,[sound:google-0462a83c-dfeff061-fd3d9bc7-0b9a07e9-9b9cbee2.mp3],1039,1399818769010,
ตะวันตก,west,[sound:google-9127728a-90219701-19ddb74d-d8930c8e-8cd3e4f5.mp3],1040,1399818769011,
รอย,trace; mark,[sound:google-5114d18b-5ba773cc-0e13cd55-d8a596db-790ea688.mp3],1041,1399818769012,
เอกสาร,document,[sound:google-41e3b24f-b2e214a8-06743b35-1acb0ffd-c4e5744d.mp3],1042,1399818769013,
เก่ง,good,[sound:google-18bfd0fa-8e00e37a-b35f7bee-6609442f-a269c656.mp3],1043,1399818769014,
เข็ม,needle,[sound:google-ba2a7fb7-27c10c83-ab21a129-f616173b-f7a3c5d7.mp3],1044,1399818769015,
สำนัก,office; bureau; institution,[sound:google-830ab3fc-a8331141-641c85d0-fc9fb217-f4a8104c.mp3],1045,1399818769016,
สนิท,close,[sound:google-70be1ed9-f38b9711-e9dbcbe8-02c73b36-1e5dc038.mp3],1046,1399818769017,
กระดาษ,paper,[sound:google-767297a7-42c3d9ed-2af30c1a-d144095c-879943e7.mp3],1047,1399818769018,
สด,fresh,[sound:google-005d6b16-e4546288-ebb0999c-a971a05a-1afe99ca.mp3],1048,1399818769019,
คอ,neck,[sound:google-a703634c-4bce628a-4bf85c13-d1320402-12242ca9.mp3],1049,1399818769020,
โรงพยาบาล,hospital,[sound:google-e518668c-9e0aa7e4-12c39ff5-2482664d-7d55c96e.mp3],1050,1399818769021,
หิน,rock,[sound:google-2390483f-a844bff6-3a1bf832-3db82f01-b971dd0e.mp3],1051,1399818769022,
ตำบล,sub district,[sound:google-bfd2196a-aef96bc1-8ed133e7-049d639a-29b3f88a.mp3],1052,1399818769023,
ทั้งที่,even if; although,[sound:google-f81b5067-91e9a3de-a53a1c07-e8a53c23-ea4b1a76.mp3],1053,1399818769024,
ราว,about,[sound:google-75b0bf3a-d07718aa-10f903c7-4588f8fc-012fece1.mp3],1054,1399818769025,
ห่างไกล,far; afar,[sound:google-f605ff03-1d08bd5f-01a4c2d4-0c5650a9-16665495.mp3],1055,1399818769026,
สู้,fight,[sound:google-0dc9a25a-3d338f4c-114b9d6b-3d9b7dc3-ba171d06.mp3],1056,1399818769027,
ตะวันออก,east,[sound:google-d3a714bc-b891f55c-ecb6e399-8eae0a3a-d1634ee9.mp3],1057,1399818769028,
จด,write; adjoin,[sound:google-cdfe9402-202308ac-e83690a5-4caf8888-b71f8f76.mp3],1058,1399818769029,
จง,intent; intention,[sound:google-564757b3-55df8e64-7a5a3d74-62e90a7b-8ed06f62.mp3],1059,1399818769030,
เพิ่มเติม,"add; extra, in addition",[sound:google-f33a1f17-5e81d09a-3ea083f4-d4929bec-9afe4c3e.mp3],1060,1399818769031,
อบรม,"teach, instruct",[sound:google-a4e8814c-32129add-8d052323-21fb8d4c-a4cf2fc0.mp3],1061,1399818769032,
เส้นทาง,route; way; course,[sound:google-3f60200a-c91627ba-c4aed2fa-beef980f-2fa3c3db.mp3],1062,1399818769033,
ปืน,gun,[sound:google-60889b57-689185c0-e378b977-68f7c183-87454d95.mp3],1063,1399818769034,
โต๊ะ,table,[sound:google-40a62e62-74dfde65-868dd2c3-9b66cb6a-4893abca.mp3],1064,1399818769035,
รวบรวม,to compile; collect; gather,[sound:google-76b54514-8bdb0c1f-4c8ccff8-ce52e94d-a00752fc.mp3],1065,1399818769036,
เสื้อผ้า,clothing,[sound:google-535a0458-a5c84b3b-60a27aaa-d16d6c99-a9ea5768.mp3],1066,1399818769037,
มารดา,mother,[sound:google-3e8542da-137f404a-73808fb6-550d63f1-4a9da531.mp3],1067,1399818769038,
ภาระ,burden; responsibility,[sound:google-2158032a-a2b9a3e6-df9fc43f-6dfcd647-95c63cf0.mp3],1068,1399818769039,
คุณค่า,value,[sound:google-80bbe788-2cb28f14-a4510204-08a26c3d-a2e69221.mp3],1069,1399818769040,
แต่ก่อน,before; formerly; previously,[sound:google-f849bad1-dd28a690-6247aa23-da4e9547-54984ce5.mp3],1070,1399818769041,
เลือด,blood,[sound:google-957a7fae-b036e145-835b0eb2-efb58403-a1278c8b.mp3],1071,1399818769042,
กระแส,stream; river; flow,[sound:google-7d64bdb5-b1508225-fea164fb-3b66bb54-bd40af24.mp3],1072,1399818769043,
เท่ากับ,as; equal to,[sound:google-45b67708-77462222-4357825b-88e8cf8e-3eacc05c.mp3],1073,1399818769044,
ผลิตภัณฑ์,product,[sound:google-dd78ce29-846b7d33-238d9e32-afec9994-d5cf9033.mp3],1074,1399818769045,
ขีด,mark; scratch,[sound:google-c626c48d-6b7ba904-af2b0522-0c2df676-341e4f2e.mp3],1075,1399818769046,
พวกเรา,we,[sound:google-b2e2dbf0-644d0f91-a95d78d7-9fdf8849-f005b95e.mp3],1076,1399818769047,
ขั้นตอน,step; procedure,[sound:google-8f8b8213-06014d1b-0d45e583-36d34a7a-a6070d83.mp3],1077,1399818769048,
ตระกูล,clan; family,[sound:google-6e4d76e0-6a70cff2-8396ead1-4bf0502c-d1eca486.mp3],1078,1399818769049,
ดา,abundant; to advance in a group; pimp,[sound:google-2a13250c-f5f14d58-e59b7869-99959d3d-3cc4feb8.mp3],1079,1399818769050,
สิทธิ์,"right, authority",[sound:google-32ce0c80-ef4a6e33-a0c9bacd-0640a831-d4f6dff2.mp3],1080,1399818769051,
นักเขียน,writer,[sound:google-acd9bfd2-891d705b-f7c56e7f-68f03abf-d6924640.mp3],1081,1399818769052,
คัน,rod; itch,[sound:google-64a90a06-d586d0bf-6115adbe-8341adb1-9a3cde8a.mp3],1082,1399818769053,
บิดา,father,[sound:google-9206501d-e94f5df3-139c6615-4705a4a8-b9d7af98.mp3],1083,1399818769054,
สนุกสนาน,fun; cheerfully,[sound:google-b878d6e2-ccc35b00-fc53d973-ca810213-5d049e49.mp3],1084,1399818769055,
ประสิทธิภาพ,efficiency,[sound:google-14cb7289-97a5f0e5-07ad8f20-20061442-92482bf1.mp3],1085,1399818769056,
ผลกระทบ,effect,[sound:google-7fe02990-119852c9-49025fde-b5acd071-d1535918.mp3],1086,1399818769057,
ดึง,pull,[sound:google-ef16d0fe-1696c0ab-a8caaec1-8da0cd0f-bacfa6cd.mp3],1087,1399818769058,
หัวเราะ,laugh,[sound:google-8ff6241a-5daa2d55-a328e529-69a1af53-88763e44.mp3],1088,1399818769059,
เฝ้า,guard,[sound:google-047b0d70-8b1a781a-793f8bbf-9faf696d-a2ca9540.mp3],1089,1399818769060,
หลากหลาย,various; many,[sound:google-1e8421c6-f7aa3dbe-ac5d1281-0948b20f-ee40a82d.mp3],1090,1399818769061,
โครงสร้าง,structure; constructiob,[sound:google-83b51286-1ed74b07-4b4f9545-aa0462e8-77142b56.mp3],1091,1399818769062,
สนาม,field,[sound:google-c94858e1-ca9af1b3-7ed29a2d-23f814aa-0b08a0f7.mp3],1092,1399818769063,
ยิง,fire; shoot,[sound:google-55cb4544-cd1b0513-169105e6-6c210f66-4a679069.mp3],1093,1399818769064,
เยี่ยม,visit; great,[sound:google-b4dc0416-9e8bc3d5-66e3371a-ef5898cb-8acd1849.mp3],1094,1399818769065,
หู,ear,[sound:google-a9b546c4-63b6d0a1-a3d16ca3-e3dd09ba-c39be78c.mp3],1095,1399818769066,
