Cleaned Text,Note Count,Models Involved,Note IDs
เจาะ,2,"Basic (+Audio), Basic (and reversed card)","1399818769685, 1752039070029"
เสียใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818769686, 1668844489749"
หลังคา,2,"Basic (+Audio), Basic (and reversed card)","1399818769695, 1761281160391"
เจ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769698, 1504119762467"
ประทับ,2,"Basic (+Audio), Basic (and reversed card)","1399818769708, 1674448591598"
ท่าทาง,2,"Basic (+Audio), Basic (and reversed card)","1399818769710, 1713497060721"
ย่า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769719, 1504119762383"
นม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769721, 1504119762457"
กัด,2,"Basic (+Audio), Basic (and reversed card)","1399818769723, 1738733111208"
ร้องไห้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769741, 1504119762589"
ตกใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818769745, 1721467081764"
ผลไม้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769746, 1504119762431"
สำนึก,2,"Basic (+Audio), Basic (and reversed card)","1399818769756, 1711432257444"
เมล็ด,2,"Basic (+Audio), Basic (and reversed card)","1399818769759, 1712119345390"
สบายใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818769761, 1668845085290"
มหานคร,2,"Basic (+Audio), Basic (and reversed card)","1399818769767, 1692426386452"
กาแฟ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769768, 1504119762154"
แน่น,2,"Basic (+Audio), Basic (and reversed card)","1399818769773, 1751603813449"
เห็นใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818769774, 1683608318912"
เมื่อไร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769780, 1504119762361"
อด,2,"Basic (+Audio), Basic (and reversed card)","1399818769795, 1713326461737"
เงินเดือน,2,"Basic (+Audio), Basic (and reversed card)","1399818769812, 1720247643831"
หลอก,2,"Basic (+Audio), Basic (and reversed card)","1399818769821, 1657808517068"
ขี้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769826, 1504119762550"
ทัพ,2,"Basic (+Audio), Basic (and reversed card)","1399818769831, 1702095707856"
ดีใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818769834, 1668844152833"
ขณะนี้,2,"Basic (+Audio), Basic (and reversed card)","1399818769838, 1721670113403"
เต้น,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769839, 1694851684845"
กางเกง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769840, 1504119762515"
กีฬา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769842, 1504119762568"
แผ่,2,"Basic (+Audio), Basic (and reversed card)","1399818769848, 1709297787836"
สละ,2,"Basic (and reversed card), Thai Food","1399818769864, 1684951241160"
บ่าย,2,"Basic (+Audio), Basic (and reversed card)","1399818769871, 1719719831207"
แผนที่,2,"Basic (+Audio), Basic (and reversed card)","1399818769879, 1751102174421"
ต้ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769888, 1504119762485"
เลว,2,"Basic (+Audio), Basic (and reversed card)","1399818769889, 1712468441870"
ซอย,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818769893, 1772297073120"
ภาคใต้,2,"Basic (+Audio), Basic (and reversed card)","1399818769894, 1740758072048"
ฟอง,2,"Basic (+Audio), Basic (and reversed card)","1399818769902, 1705494171933"
กุ้ง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769911, 1504119762433"
เนี่ย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769912, 1504119762601"
จัง,2,"Basic (+Audio), Basic (and reversed card)","1399818769914, 1720248143694"
แย่,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769920, 1685174492133"
เสน่ห์,2,"Basic (+Audio), Basic (and reversed card)","1399818769923, 1725016835825"
หล่อ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769928, 1504119762138"
จอ,2,"Basic (+Audio), Basic (and reversed card)","1399818769930, 1752038632388"
เครียด,2,"Basic (+Audio), Basic (and reversed card)","1399818769935, 1721467404446"
คุ้ม,2,"Basic (+Audio), Basic (and reversed card)","1399818769938, 1741153353443"
เก้าอี้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769939, 1504119762283"
ทีวี,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769940, 1504119762279"
ผนัง,2,"Basic (+Audio), Basic (and reversed card)","1399818769943, 1761281220840"
แย่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818769947, 1684133979269"
ปู่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769963, 1504119762384"
ทำบุญ,2,"Basic (+Audio), Basic (and reversed card)","1399818769972, 1669532771437"
เหมา,2,"Basic (+Audio), Basic (and reversed card)","1399818769976, 1704256729053"
ถ้วย,2,"Basic (+Audio), Basic (and reversed card)","1399818769978, 1763095600253"
วะ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769986, 1504119762603"
ห้องน้ำ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769996, 1504119762113"
ใบไม้,2,"Basic (+Audio), Basic (and reversed card)","1399818770007, 1710391594179"
ชิง,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770025, 1685174457697"
แวะ,2,"Basic (+Audio), Basic (and reversed card)","1399818770029, 1709103259269"
ถอย,2,"Basic (+Audio), Basic (and reversed card)","1399818770033, 1702442283889"
สงสาร,2,"Basic (+Audio), Basic (and reversed card)","1399818770041, 1712377043602"
ขี่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770042, 1504119762213"
อักษร,2,"Basic (+Audio), Basic (and reversed card)","1399818770044, 1738993484621"
ดิบ,2,"Basic (+Audio), Basic (and reversed card)","1399818770050, 1689792240937"
ดั้งเดิม,2,"Basic (+Audio), Basic (and reversed card)","1399818770052, 1732984205854"
น้ำใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818770055, 1667799871479"
ชิน,2,"Basic (+Audio), Basic (and reversed card)","1399818770056, 1736879907461"
น้า,2,"Basic (+Audio), Basic (and reversed card)","1399818770060, 1721457406389"
ปวด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770061, 1504119762255"
ขู่,2,"Basic (+Audio), Basic (and reversed card)","1399818770071, 1709614549038"
ไว,2,"Basic (+Audio), Basic (and reversed card)","1399818770073, 1721460136709"
จม,2,"Basic (+Audio), Basic (and reversed card)","1399818770079, 1725016175333"
หม้อ,2,"Basic (+Audio), Basic (and reversed card)","1399818770082, 1671185644152"
มีด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770083, 1504119762426"
ท่าเรือ,2,"Basic (+Audio), Basic (and reversed card)","1399818770085, 1751036070613"
เหรียญ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770087, 1771647776782"
จมูก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770088, 1504119762234"
ทุ่ม,2,"Basic (+Audio), Basic (and reversed card)","1399818770092, 1719719792657"
ส้ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770117, 1504119762441"
สดใส,2,"Basic (+Audio), Basic (and reversed card)","1399818770135, 1708326780237"
กรอง,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770136, 1772297073133"
อิ่ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770142, 1504119762145"
ส่อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770145, 1504119762395"
งู,2,"Basic (+Audio), Basic (and reversed card)","1399818770148, 1710908450836"
อ้วน,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770149, 1691823332330"
แดด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770156, 1504119762558"
รวย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770165, 1691823606854"
ร้องเพลง,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770167, 1694851545520"
คุก,2,"Basic (+Audio), Basic (and reversed card)","1399818770168, 1725016629219"
เก้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770173, 1504119762180"
อาบน้ำ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770206, 1504119762540"
ปีก,2,"Basic (+Audio), Basic (and reversed card)","1399818770211, 1658720645289"
ด่วน,2,"Basic (+Audio), Basic (and reversed card)","1399818770216, 1713410279913"
ฟู,2,"Basic (+Audio), Basic (and reversed card)","1399818770217, 1737007573870"
แกะ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770222, 1765586004517"
บุ,2,"Basic (+Audio), Basic (and reversed card)","1399818770223, 1752039019232"
ออกเสียง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770224, 1504119762402"
เซ็น,2,"Basic (+Audio), Basic (and reversed card)","1399818770247, 1729318565623"
มังกร,2,"Basic (+Audio), Basic (and reversed card)","1399818770251, 1711342568294"
ถ่ายรูป,2,"Basic (+Audio), Basic (and reversed card)","1399818770256, 1702699671820"
ศาลา,2,"Basic (+Audio), Basic (and reversed card)","1399818770259, 1748406515734"
ควัน,2,"Basic (+Audio), Basic (and reversed card)","1399818770262, 1703136402307"
สมุด,2,"Basic (+Audio), Basic (and reversed card)","1399818770264, 1751102213897"
น้ำท่วม,2,"Basic (+Audio), Basic (and reversed card)","1399818770280, 1723266601533"
ดุ,2,"Basic (+Audio), Basic (and reversed card)","1399818770286, 1709709790996"
พี่ชาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770287, 1504119762367"
เกลียด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770289, 1504119762591"
ไส้,2,"Basic (+Audio), Basic (and reversed card)","1399818770292, 1737525865854"
จอง,2,"Basic (+Audio), Basic (and reversed card)","1399818770295, 1723799189490"
ตามใจ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770300, 1685175328934"
ปรุง,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770309, 1772297073129"
แมว,2,"Basic (+Audio), Basic (and reversed card)","1399818770325, 1751031300455"
หน้าต่าง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770330, 1504119762117"
มึง,2,"Basic (+Audio), Basic (and reversed card)","1399818770335, 1722919331012"
ชาม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770336, 1504119762423"
กอด,2,"Basic (+Audio), Basic (and reversed card)","1399818770351, 1709286945253"
ยุ่ง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770366, 1504119762581"
งง,2,"Basic (+Audio), Basic (and reversed card)","1399818770368, 1721467249640"
แปลกใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818770374, 1721467053249"
โทร,2,"Basic (+Audio), Basic (and reversed card)","1399818770383, 1697799675724"
อ่าว,2,"Basic (+Audio), Basic (and reversed card)","1399818770401, 1711018796805"
ปะ,2,"Basic (+Audio), Basic (and reversed card)","1399818770404, 1752039142648"
ชื่น,2,"Basic (+Audio), Basic (and reversed card)","1399818770409, 1738306453261"
ม้วน,2,"Basic (+Audio), Basic (and reversed card)","1399818770410, 1750479775827"
ร่ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770412, 1504119762526"
หมวก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770415, 1504119762521"
ตำ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770420, 1772297073123"
องศา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770421, 1504119762559"
นวด,2,"Basic (+Audio), Basic (and reversed card)","1399818770424, 1672911115144"
หิว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770429, 1504119762144"
ช้อน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770444, 1504119762425"
ข้างใน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770468, 1504119762268"
ข้างบน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770470, 1504119762266"
แหวน,2,"Basic (+Audio), Basic (and reversed card)","1399818770485, 1747629842890"
ผัด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770486, 1504119762487"
บัง,2,"Basic (+Audio), Basic (and reversed card)","1399818770488, 1742320587186"
พรุ่งนี้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770497, 1504119762350"
จุ,2,"Basic (+Audio), Basic (and reversed card)","1399818770498, 1752038849046"
อิจฉา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770503, 1504119762592"
ฝา,2,"Basic (+Audio), Basic (and reversed card)","1399818770506, 1748143274820"
กวน,2,"Basic (+Audio), Basic (and reversed card)","1399818770511, 1736576082980"
เมฆ,2,"Basic (+Audio), Basic (and reversed card)","1399818770529, 1761797017269"
ข้างล่าง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770536, 1504119762267"
พระราชวัง,2,"Basic (+Audio), Basic (and reversed card)","1399818770539, 1761455331985"
กวาง,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770543, 1769753899990"
ก่อนหน้านี้,2,"Basic (+Audio), Basic (and reversed card)","1399818770546, 1725016658214"
มหาสมุทร,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770549, 1769835957316"
สะกด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770553, 1504119762403"
ธง,2,"Basic (+Audio), Basic (and reversed card)","1399818770555, 1735193475731"
โน้น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770558, 1504119762198"
ไข้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770561, 1504119762248"
นักข่าว,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770563, 1770181537495"
สนอง,2,"Basic (+Audio), Basic (and reversed card)","1399818770572, 1738474835504"
พระจันทร์,2,"Basic (+Audio), Basic (and reversed card)","1399818770593, 1729187239184"
ภูมิใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818770596, 1721467330588"
กุญแจ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770597, 1766294292648"
จูงใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818770618, 1708069116038"
แกล้ง,2,"Basic (+Audio), Basic (and reversed card)","1399818770653, 1722575671897"
ห้องสมุด,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770666, 1768029715161"
นักร้อง,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770669, 1770443572068"
ห้าง,2,"Basic (+Audio), Basic (and reversed card)","1399818770671, 1677822426730"
เกลือ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770675, 1504119762453"
รถเมล์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770683, 1504119762203"
กับข้าว,2,"Basic (+Audio), Basic (and reversed card)","1399818770684, 1713872519855"
เข่า,2,"Basic (+Audio), Basic (and reversed card)","1399818770685, 1709613971612"
ควาย,2,"Basic (+Audio), Basic (and reversed card)","1399818770691, 1749961839367"
โกหก,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770692, 1685171846144"
ข้าวโพด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770695, 1504119762450"
โกง,2,"Basic (+Audio), Basic (and reversed card)","1399818770698, 1672120871557"
วิศวกร,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818770701, 1770010505553"
นุ่ม,2,"Basic (+Audio), Basic (and reversed card)","1399818770703, 1705205540196"
ล่าสุด,2,"Basic (+Audio), Basic (and reversed card)","1399818770706, 1723266781948"
นิดหน่อย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770714, 1504119762130"
เอาแต่,2,"Basic (+Audio), Basic (and reversed card)","1399818770719, 1661747473646"
สุนัข,2,"Basic (+Audio), Basic (and reversed card)","1399818770790, 1710131628296"
ตบ,2,"Basic (+Audio), Basic (and reversed card)","1399818770792, 1735300044420"
ข้างนอก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770795, 1504119762269"
ขำ,2,"Basic (+Audio), Basic (and reversed card)","1399818770796, 1712120482707"
ราด,2,"Basic (+Audio), Basic (and reversed card)","1399818770807, 1676184837347"
เผลอ,2,"Basic (+Audio), Basic (and reversed card)","1399818770813, 1658488333306"
จักรยาน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770816, 1504119762206"
ว่ายน้ำ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818770843, 1694850916003"
น้องชาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770879, 1504119762370"
หงุดหงิด,2,"Basic (+Audio), Basic (and reversed card)","1399818770889, 1722920199795"
เตา,2,"Basic (+Audio), Basic (and reversed card)","1399818770911, 1752038581429"
สนามบิน,2,"Basic (+Audio), Basic (and reversed card)","1399818770912, 1670676331429"
ออกกำลังกาย,2,"Basic (+Audio), Basic (and reversed card)","1399818770916, 1662449064481"
แก้ม,2,"Basic (+Audio), Basic (and reversed card)","1399818770928, 1709287602996"
ขนมปัง,2,"Basic (+Audio), Basic (and reversed card)","1399818770936, 1675058813557"
แตะ,2,"Basic (+Audio), Basic (and reversed card)","1399818770951, 1752038960285"
พริก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818770953, 1504119762436"
ทีหลัง,2,"Basic (+Audio), Basic (and reversed card)","1399818770974, 1669093982276"
ธุระ,2,"Basic (+Audio), Basic (and reversed card)","1399818770984, 1737181868773"
เบียร์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771011, 1504119762157"
ใจดี,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818771021, 1691823537913"
ถั่ว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771024, 1504119762439"
พิพิธภัณฑ์,2,"Basic (+Audio), Basic (and reversed card)","1399818771030, 1760933750781"
ตั๋ว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771037, 1504119762209"
บุญคุณ,2,"Basic (+Audio), Basic (and reversed card)","1399818771043, 1721988504174"
ผู้โดยสาร,2,"Basic (+Audio), Basic (and reversed card)","1399818771057, 1764410437611"
เป็ด,2,"Basic (+Audio), Basic (and reversed card)","1399818771069, 1677393602405"
พาน,2,"Basic (+Audio), Basic (and reversed card)","1399818771074, 1740115873941"
เกรงใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818771081, 1684694169564"
แท็กซี่,2,"Basic (+Audio), Basic (and reversed card)","1399818771094, 1684572113490"
กบ,2,"Basic (+Audio), Basic (and reversed card)","1399818771096, 1713070731859"
ซ้อม,2,"Basic (+Audio), Basic (and reversed card)","1399818771111, 1736662569065"
ชิม,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818771114, 1772297073130"
เลีย,2,"Basic (+Audio), Basic (and reversed card)","1399818771115, 1709287553540"
หั่น,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818771122, 1772297073118"
เหม็น,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818771145, 1691830744439"
ดึก,2,"Basic (+Audio), Basic (and reversed card)","1399818771151, 1684900640441"
สารคดี,2,"Basic (+Audio), Basic (and reversed card)","1399818771153, 1703928515049"
โซ่,2,"Basic (+Audio), Basic (and reversed card)","1399818771191, 1710822570011"
อาสาสมัคร,2,"Basic (+Audio), Basic (and reversed card)","1399818771193, 1725016390488"
ครู่,2,"Basic (+Audio), Basic (and reversed card)","1399818771195, 1673246205481"
งอ,2,"Basic (+Audio), Basic (and reversed card)","1399818771213, 1709614179522"
แตง,2,"Basic (+Audio), Basic (and reversed card)","1399818771248, 1719034436945"
เปรี้ยว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771253, 1504119762463"
หวง,2,"Basic (+Audio), Basic (and reversed card)","1399818771254, 1738648053951"
เตะ,2,"Basic (+Audio), Basic (and reversed card)","1399818771276, 1752038895368"
นักแสดง,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818771278, 1770443675760"
สับ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818771287, 1772297073119"
หมี,2,"Basic (+Audio), Basic (and reversed card)","1399818771288, 1709103946510"
ภริยา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771299, 1504119762378"
แขนง,2,"Basic (and reversed card), Thai Food","1399818771301, 1684951240962"
ผอม,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818771302, 1691823407419"
ไว้ใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818771318, 1685161034579"
ตับ,2,"Basic (+Audio), Basic (and reversed card)","1399818771338, 1712547844608"
ขี้เกียจ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818771340, 1685172733904"
ผีเสื้อ,2,"Basic (+Audio), Basic (and reversed card)","1399818771344, 1676873798105"
ซึ้ง,2,"Basic (+Audio), Basic (and reversed card)","1399818771348, 1734328077231"
เถียง,2,"Basic (+Audio), Basic (and reversed card)","1399818771350, 1754718007512"
ทุบ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818771352, 1772297073121"
ไปรษณีย์,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818771361, 1771648757032"
หวัด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771363, 1504119762247"
คนขาย,2,"Basic (+Audio), Basic (and reversed card)","1399818771373, 1751725369253"
ข้อหา,2,"Basic (+Audio), Basic (and reversed card)","1399818771390, 1738304402440"
จีบ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771420, 1504119762381"
กระโปรง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771446, 1504119762517"
ไวน์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771455, 1504119762156"
เครื่องสำอาง,2,"Basic (+Audio), Basic (and reversed card)","1399818771502, 1729187339923"
น้อยใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818771513, 1668844875848"
ปลายทาง,2,"Basic (+Audio), Basic (and reversed card)","1399818771540, 1756736145096"
ตาบอด,2,"Basic (and reversed card), ~Speak like a Thai","1399818771541, 1442747087704"
เลี้ยว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771556, 1504119762276"
ปั่น,2,"Basic (+Audio), Basic (and reversed card)","1399818771560, 1683698090108"
เค็ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771568, 1504119762466"
เตี้ย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818771573, 1691823258811"
ข้าวต้ม,2,"Basic (and reversed card), Thai Food","1399818771579, 1647718966404"
ฟุตบอล,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771619, 1504119762569"
เทพเจ้า,2,"Basic (+Audio), Basic (and reversed card)","1399818771630, 1757060112564"
ถู,2,"Basic (+Audio), Basic (and reversed card)","1399818771640, 1709446695796"
เซ็ง,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818771660, 1685174773066"
ทะเลสาบ,2,"Basic (+Audio), Basic (and reversed card)","1399818771667, 1751036218191"
เงินสด,2,"Basic (+Audio), Basic (and reversed card)","1399818771669, 1675838729336"
ชายหาด,2,"Basic (+Audio), Basic (and reversed card)","1399818771677, 1751036130705"
เกา,2,"Basic (+Audio), Basic (and reversed card)","1399818771703, 1708843742571"
หิมะ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771815, 1504119762555"
พุทธศักราช,2,"Basic (+Audio), Basic (and reversed card)","1399818771845, 1759829595014"
กระเทียม,2,"Basic (and reversed card), Thai Food","1399818771871, 1684951240876"
ปากกา,2,"Basic (+Audio), Basic (and reversed card)","1399818771874, 1751102054774"
มะนาว,2,"Basic (and reversed card), Thai Food","1399818771904, 1684951241144"
แออัด,2,"Basic (+Audio), Basic (and reversed card)","1399818771915, 1704778779924"
เผ็ด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818771939, 1504119762462"
ง่วง,2,"Basic (+Audio), Basic (and reversed card)","1399818771942, 1717051074136"
จิ๋ว,2,"Basic (+Audio), Basic (and reversed card)","1399818771959, 1711385969184"
นินทา,2,"Basic (+Audio), Basic (and reversed card)","1399818771966, 1691641126478"
เผลอไม่ได้,2,~Speak like a Thai,"1442747087474, 1442747087743"
บอกแล้วไง,2,~Speak like a Thai,"1442747087497, 1442747087650"
ทีหลังอย่าทำ,2,~Speak like a Thai,"1442747087527, 1442747087830"
ไม่รู้จะทำยังไง,2,~Speak like a Thai,"1442747087672, 1442747087765"
ไปก่อนนะ,2,"Basic (+Audio) & reversed, ~Speak like a Thai","1442747087828, 1685088173815"
ได้ยินกับหู,2,"Basic (+Audio), ~Speak like a Thai","1442747087843, 1712806713351"
มะม่วง,2,"Thai Food, ~Pocket Thai Vocab","1504119762445, 1684951241142"
มะละกอ,2,"Thai Food, ~Pocket Thai Vocab","1504119762446, 1684951241138"
สับปะรด,2,"Thai Food, ~Pocket Thai Vocab","1504119762447, 1684951241164"
มะเขือเทศ,2,"Thai Food, ~Pocket Thai Vocab","1504119762449, 1684951240972"
ชานมเย็น,2,"Thai Food, ~Pocket Thai Vocab","1504119762458, 1647718966990"
แกงเขียวหวาน,2,"Thai Food, ~Pocket Thai Vocab","1504119762471, 1647718966494"
แกงเผ็ด,2,"Thai Food, ~Pocket Thai Vocab","1504119762472, 1647718966524"
ต้มยำ,2,"Thai Food, ~Pocket Thai Vocab","1504119762473, 1647718966568"
ส้มตำ,2,"Thai Food, ~Pocket Thai Vocab","1504119762475, 1647718966606"
ไก่ย่าง,2,"Thai Food, ~Pocket Thai Vocab","1504119762476, 1647718966790"
ไก่ผัดขิง,2,"Thai Food, ~Pocket Thai Vocab","1504119762477, 1647718966676"
ข้าวซอย,2,"Thai Food, ~Pocket Thai Vocab","1504119762481, 1647718966420"
โจ๊ก,2,"Thai Food, ~Pocket Thai Vocab","1504119762482, 1647718966364"
◌่,2,"Basic, Basic (+Audio on back)","1533709133038, 1713073491257"
คั่ว,2,"Basic (+Audio), Basic (+Audio) & reversed","1676354162642, 1772297073127"
นอนไม่หลับ,2,"Basic (+Audio), Basic (+Audio) & reversed","1722920095447, 1772288864326"
